Date,Open,High,Low,Close,Volume,Change
2000-08-23,6450,6450,6160,6190,558191,-0.04179566563467496
2000-08-24,6260,6300,6100,6220,634031,0.004846526655896577
2000-08-25,6180,6400,6110,6400,439289,0.02893890675241151
2000-08-28,6340,6380,6260,6330,352697,-0.010937500000000044
2000-08-29,6320,6380,6160,6220,335311,-0.017377567140600347
2000-08-30,6140,6190,6020,6030,474778,-0.030546623794212246
2000-08-31,5900,5900,5380,5470,2282425,-0.09286898839137647
2000-09-01,5540,5600,5420,5540,999150,0.01279707495429605
2000-09-04,5440,5550,5310,5340,572580,-0.03610108303249093
2000-09-05,5260,5340,5030,5150,1595388,-0.035580524344569264
2000-09-06,5200,5280,5090,5150,1062450,0.0
2000-09-07,4940,4980,4760,4790,1678143,-0.06990291262135917
2000-09-08,4900,4929,4790,4880,1143428,0.018789144050104456
2000-09-14,4600,4710,4440,4710,2122625,-0.0348360655737705
2000-09-15,4500,4620,4300,4350,1653972,-0.07643312101910826
2000-09-18,4010,4120,3700,3970,2926173,-0.08735632183908049
2000-09-19,3990,4370,3900,4160,2010503,0.04785894206549113
2000-09-20,4600,4660,4460,4600,2068299,0.10576923076923084
2000-09-21,4590,4660,4320,4400,1308910,-0.04347826086956519
2000-09-22,3840,4050,3780,3800,2065320,-0.13636363636363635
2000-09-25,3879,4110,3840,4090,1319773,0.07631578947368411
2000-09-26,3900,4040,3900,4000,1168610,-0.022004889975550168
2000-09-27,4000,4100,3959,4030,1395909,0.007500000000000062
2000-09-28,4100,4190,4030,4060,1049400,0.007444168734491274
2000-09-29,4120,4120,3940,4040,1150741,-0.0049261083743842304
2000-10-02,3840,3879,3760,3810,822417,-0.05693069306930698
2000-10-04,3700,3950,3589,3890,1652739,0.0209973753280841
2000-10-05,4019,4080,3939,3940,1254995,0.01285347043701801
2000-10-06,3800,3899,3760,3900,1098710,-0.010152284263959421
2000-10-09,3820,3840,3680,3690,1263995,-0.05384615384615388
2000-10-10,3700,3810,3590,3660,1242900,-0.008130081300813052
2000-10-11,3450,3459,3210,3220,2072111,-0.1202185792349727
2000-10-12,3140,3280,3140,3140,1590749,-0.024844720496894457
2000-10-13,3000,3090,2830,3030,2305962,-0.035031847133757954
2000-10-16,3300,3380,3130,3160,2326392,0.04290429042904287
2000-10-17,2980,3080,2730,2740,1306045,-0.13291139240506333
2000-10-18,2540,2760,2420,2730,3284311,-0.0036496350364964014
2000-10-19,2730,3050,2690,2900,2754409,0.06227106227106227
2000-10-20,3239,3330,3190,3330,2376542,0.14827586206896548
2000-10-23,3490,3520,3160,3200,2799260,-0.03903903903903905
2000-10-24,3180,3419,3100,3340,1942318,0.043749999999999956
2000-10-25,3200,3260,3130,3210,1374694,-0.038922155688622784
2000-10-26,2930,3030,2740,2890,2665890,-0.09968847352024923
2000-10-27,2960,3020,2840,2840,1463360,-0.01730103806228378
2000-10-30,2800,2880,2720,2750,736657,-0.03169014084507038
2000-10-31,2750,2850,2630,2850,1263847,0.036363636363636376
2000-11-01,3000,3270,2960,3260,1883300,0.14385964912280702
2000-11-02,3200,3429,3170,3320,2463636,0.018404907975460016
2000-11-03,3420,3470,3370,3440,1608435,0.03614457831325302
2000-11-06,3460,3670,3380,3510,1437330,0.02034883720930236
2000-11-07,3460,3550,3380,3440,1074804,-0.019943019943019946
2000-11-08,3399,3460,3280,3410,1164384,-0.008720930232558155
2000-11-09,3300,3430,3260,3400,1046171,-0.0029325513196480912
2000-11-10,3360,3440,3320,3380,702840,-0.00588235294117645
2000-11-13,3220,3260,3100,3150,1021457,-0.06804733727810652
2000-11-14,3210,3320,3210,3290,635154,0.04444444444444451
2000-11-15,3449,3460,3319,3390,1114464,0.03039513677811545
2000-11-16,3400,3420,3250,3280,748446,-0.03244837758112096
2000-11-17,3180,3230,3150,3220,724553,-0.018292682926829285
2000-11-20,3160,3210,3100,3100,535981,-0.037267080745341574
2000-11-21,3080,3170,2970,3160,1032456,0.019354838709677358
2000-11-22,3100,3220,3080,3140,754289,-0.006329113924050667
2000-11-23,3140,3260,3140,3210,892960,0.022292993630573354
2000-11-24,3310,3400,3270,3400,910673,0.05919003115264787
2000-11-27,3600,3800,3570,3780,2004446,0.11176470588235299
2000-11-28,3650,3650,3500,3520,1195439,-0.06878306878306883
2000-11-29,3300,3350,3200,3220,1086068,-0.08522727272727271
2000-11-30,3220,3290,3150,3240,1266322,0.006211180124223503
2000-12-01,3080,3220,3040,3180,1928557,-0.01851851851851849
2000-12-04,3220,3250,3080,3100,1037540,-0.02515723270440251
2000-12-05,3160,3250,3120,3240,1168095,0.04516129032258065
2000-12-06,3410,3430,3210,3210,1917834,-0.0092592592592593
2000-12-07,3210,3260,3160,3260,860422,0.015576323987538832
2000-12-08,3260,3389,3260,3370,951501,0.033742331288343586
2000-12-11,3480,3630,3480,3580,1411583,0.06231454005934722
2000-12-12,3579,3650,3499,3500,1474958,-0.022346368715083775
2000-12-13,3500,3779,3500,3780,1682889,0.08000000000000007
2000-12-14,3619,3680,3560,3620,1339386,-0.042328042328042326
2000-12-15,3620,3640,3480,3490,1059217,-0.035911602209944715
2000-12-18,3500,3590,3489,3560,687058,0.02005730659025784
2000-12-19,3559,3570,3510,3530,508982,-0.008426966292134797
2000-12-20,3419,3450,3320,3340,1073576,-0.053824362606232246
2000-12-21,3120,3300,3070,3240,1532573,-0.029940119760479056
2000-12-22,3240,3300,3130,3140,1275258,-0.030864197530864224
2000-12-26,3230,3240,3160,3160,1208632,0.006369426751592355
2001-01-02,3160,3380,3140,3350,789127,0.06012658227848111
2001-01-03,3229,3420,3220,3370,757143,0.005970149253731405
2001-01-04,3790,3870,3660,3780,2398248,0.12166172106824935
2001-01-05,3760,3920,3700,3900,1562744,0.031746031746031855
2001-01-08,3820,3910,3780,3880,845911,-0.00512820512820511
2001-01-09,3830,3860,3710,3840,925608,-0.010309278350515427
2001-01-10,3780,3810,3700,3710,824777,-0.03385416666666663
2001-01-11,3789,3789,3640,3640,628239,-0.018867924528301883
2001-01-12,3800,3890,3770,3840,1058060,0.05494505494505497
2001-01-15,3860,4020,3840,3920,1029275,0.02083333333333326
2001-01-16,3960,4200,3850,4140,1041389,0.05612244897959173
2001-01-17,4059,4240,4059,4220,1051459,0.019323671497584627
2001-01-18,4240,4530,4240,4400,1153718,0.042654028436019065
2001-01-19,4699,4699,4520,4600,1084940,0.045454545454545414
2001-01-22,4600,4600,4470,4550,845034,-0.010869565217391353
2001-01-26,4450,4480,3970,3980,1820526,-0.12527472527472527
2001-01-29,4000,4100,3960,4020,944935,0.01005025125628145
2001-01-30,4100,4170,4070,4110,787000,0.02238805970149249
2001-01-31,4090,4400,4090,4400,1060930,0.07055961070559613
2001-02-01,4270,4420,4190,4270,794640,-0.02954545454545454
2001-02-02,4290,4390,4220,4290,546604,0.004683840749414525
2001-02-05,4170,4200,3990,4030,942754,-0.06060606060606055
2001-02-06,3980,4020,3910,4010,630966,-0.00496277915632759
2001-02-07,3960,3990,3899,3900,462650,-0.027431421446383997
2001-02-08,3920,4059,3890,4060,693756,0.0410256410256411
2001-02-09,4040,4100,3980,4070,504637,0.0024630541871921707
2001-02-12,3840,4050,3840,3970,722293,-0.02457002457002455
2001-02-13,4040,4100,3970,3980,445953,0.0025188916876575096
